numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20151109120000;102680;-30;6;240;8.200000;287.750000;281.950000;68;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101810;mq;mq;370;mq;mq;mq;mq;284.350000;mq;mq;12.500000;15.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20151109120000;102550;-20;6;240;9.300000;288.050000;281.950000;67;16990;0;mq;mq;90;7;800;mq;mq;mq;101980;mq;mq;160;mq;mq;mq;mq;283.650000;mq;mq;14.100000;14.100000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;7;mq;870;7;mq;1050;mq;mq;mq;mq;mq;mq;
07020;20151109120000;102660;-80;8;220;10.800000;288.350000;284.950000;80;14000;1;2;mq;60;3;800;32;20;11;102390;mq;mq;580;mq;mq;mq;mq;mq;mq;mq;15.100000;15.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;3;8;600;3;0;6000;mq;mq;mq;mq;mq;mq;
07027;20151109120000;102860;-30;5;250;8.000000;287.650000;282.450000;71;32140;0;mq;mq;90;7;800;mq;mq;mq;102050;mq;mq;680;mq;mq;mq;mq;281.150000;mq;mq;11.100000;13.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.600000;1.600000;mq;mq;mq;mq;7;mq;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20151109120000;102820;10;0;240;7.000000;288.350000;281.550000;64;15000;1;2;2;75;6;800;31;20;11;101000;mq;mq;470;mq;mq;mq;mq;284.550000;mq;mq;10.800000;13.600000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;8;810;4;0;7500;mq;mq;mq;mq;mq;mq;
07072;20151109120000;102760;-30;8;250;7.000000;290.450000;282.850000;61;20000;0;mq;mq;mq;3;800;mq;mq;mq;101630;mq;mq;170;mq;mq;mq;mq;285.850000;mq;mq;10.400000;10.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;3;mq;960;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20151109120000;102840;-30;8;220;9.400000;287.750000;283.550000;76;24210;0;2;2;90;7;450;mq;mq;mq;101690;mq;mq;830;mq;mq;mq;mq;279.550000;mq;mq;14.300000;14.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;7;mq;540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20151109120000;102760;-30;6;240;7.400000;288.750000;282.450000;66;20000;2;2;mq;60;3;2500;30;23;15;102060;mq;mq;860;mq;mq;mq;mq;mq;mq;mq;13.400000;13.400000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.800000;mq;mq;mq;mq;2;3;2500;3;2;5000;mq;mq;mq;mq;mq;mq;
07130;20151109120000;102990;-50;8;220;6.600000;289.750000;283.850000;68;31350;0;mq;mq;mq;1;800;mq;mq;mq;102540;mq;mq;740;mq;mq;mq;mq;280.650000;mq;mq;10.100000;11.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20151109120000;102950;-50;8;260;6.300000;288.450000;283.050000;70;20000;0;mq;mq;mq;2;800;mq;mq;mq;101210;mq;mq;570;mq;mq;mq;mq;277.650000;mq;mq;9.500000;11.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;690;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20151109120000;102910;10;0;240;7.500000;289.850000;282.050000;60;20000;1;1;1;40;2;800;35;20;11;101830;mq;mq;440;mq;mq;mq;mq;mq;mq;mq;11.200000;11.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;940;3;0;7000;mq;mq;mq;mq;mq;mq;
07168;20151109120000;102910;-30;8;250;6.500000;291.750000;285.050000;65;30000;1;2;2;60;2;800;31;20;11;101510;mq;mq;330;mq;mq;mq;mq;284.750000;mq;mq;11.500000;11.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;800;3;0;9000;mq;mq;mq;mq;mq;mq;
07181;20151109120000;102810;30;1;250;6.600000;290.250000;284.550000;69;60000;mq;mq;mq;mq;mq;mq;mq;mq;mq;98780;mq;mq;100;mq;mq;mq;mq;284.250000;mq;mq;10.700000;13.000000;-10;mq;mq;0.000000;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20151109120000;102830;100;1;220;4.600000;290.650000;286.150000;75;40860;0;mq;mq;100;7;800;mq;mq;mq;101040;mq;mq;50;mq;mq;mq;mq;282.850000;mq;mq;7.900000;10.100000;-10;0;mq;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;5;mq;990;7;mq;1260;8;mq;1920;mq;mq;mq;
07207;20151109120000;103130;0;0;250;7.200000;289.050000;284.650000;75;18000;2;2;mq;75;4;800;38;20;11;102610;mq;mq;860;mq;mq;mq;mq;mq;mq;mq;10.400000;11.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;600;2;6;1000;1;0;6000;mq;mq;mq;
07222;20151109120000;103170;-10;8;260;5.200000;290.050000;284.350000;69;25000;1;1;1;50;2;800;32;20;11;102860;mq;mq;870;mq;mq;mq;mq;281.750000;mq;mq;7.300000;9.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;2;8;740;4;0;7800;mq;mq;mq;mq;mq;mq;
07240;20151109120000;103110;-20;8;250;5.400000;290.550000;284.550000;68;60000;0;mq;mq;mq;1;800;mq;mq;mq;101770;mq;mq;640;mq;mq;mq;mq;285.150000;mq;mq;8.600000;8.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20151109120000;103200;-30;8;260;4.000000;288.050000;285.350000;84;25000;1;2;2;90;7;450;38;mq;mq;101200;mq;mq;600;mq;mq;mq;mq;285.750000;mq;mq;6.200000;8.700000;-10;1;0.000000;0.000000;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;8;330;7;6;650;mq;mq;mq;mq;mq;mq;
07280;20151109120000;103090;60;1;250;4.400000;290.950000;285.650000;71;44460;0;mq;mq;100;8;800;mq;mq;mq;100400;mq;mq;280;mq;mq;mq;mq;283.350000;mq;mq;7.400000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;810;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20151109120000;102930;30;0;280;4.200000;291.150000;284.450000;65;25000;3;2;2;75;5;800;35;23;11;99710;mq;mq;160;mq;mq;mq;mq;280.250000;mq;mq;8.500000;9.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;900;5;6;2200;1;3;2700;1;0;7500;
07314;20151109120000;103280;-10;0;210;4.000000;290.350000;288.650000;90;mq;3;2;mq;75;2;1250;32;23;14;103000;mq;mq;880;mq;mq;mq;mq;mq;mq;mq;5.900000;5.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;2;8;1000;3;3;2200;5;0;6000;mq;mq;mq;
07335;20151109120000;103220;-20;8;240;5.300000;289.850000;286.150000;79;50350;1;2;2;90;7;450;31;mq;mq;101780;mq;mq;740;mq;mq;mq;mq;284.750000;mq;mq;7.400000;7.900000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;8;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20151109120000;103260;30;0;230;4.200000;287.450000;285.650000;89;9530;0;2;2;100;8;250;36;mq;mq;98480;mq;mq;620;mq;mq;mq;mq;281.850000;mq;mq;9.700000;9.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;220;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20151109120000;103080;-50;8;170;3.900000;292.350000;284.650000;61;51470;0;mq;mq;mq;4;1750;mq;mq;mq;99260;mq;mq;460;mq;mq;mq;mq;mq;mq;mq;5.500000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;1920;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20151109120000;mq;40;0;340;3.300000;289.750000;283.150000;65;20000;0;mq;mq;mq;5;1250;mq;mq;mq;93610;mq;935;370;mq;mq;mq;mq;mq;mq;mq;5.100000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;1020;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20151109120000;103160;-60;8;200;1.500000;291.850000;285.150000;65;20000;1;0;0;10;1;2250;35;20;10;100330;mq;mq;320;mq;mq;mq;mq;mq;mq;mq;2.400000;4.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;6;2000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20151109120000;103360;20;0;310;1.500000;290.950000;288.050000;83;19740;0;2;2;75;6;250;35;20;10;102780;mq;mq;850;mq;mq;mq;mq;282.550000;mq;mq;3.200000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;7;210;6;6;400;mq;mq;mq;mq;mq;mq;
07535;20151109120000;103380;20;0;150;0.500000;287.850000;286.250000;90;17400;0;mq;mq;100;8;150;mq;mq;mq;100260;mq;mq;690;mq;mq;mq;mq;283.050000;mq;mq;1.100000;1.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20151109120000;103020;-30;8;350;3.500000;291.750000;285.050000;65;19590;0;mq;mq;mq;mq;mq;mq;mq;mq;94880;mq;mq;270;mq;mq;mq;mq;283.250000;mq;mq;7.900000;7.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20151109120000;103100;-100;8;40;4.900000;290.450000;285.550000;73;18000;1;0;0;10;0;mq;30;20;11;102210;mq;mq;50;mq;mq;mq;mq;mq;mq;mq;7.700000;8.200000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;0;7500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20151109120000;mq;-220;6;200;1.900000;291.350000;274.750000;33;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;92830;mq;1622;-170;mq;mq;mq;mq;mq;mq;mq;3.600000;4.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20151109120000;103380;20;0;0;0.000000;289.950000;288.650000;92;7000;0;mq;mq;100;mq;150;mq;mq;mq;102670;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.600000;-10;mq;0.000000;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07621;20151109120000;103250;-20;8;20;2.000000;294.150000;287.050000;64;43480;0;mq;mq;mq;0;mq;mq;mq;mq;99020;mq;mq;750;mq;mq;mq;mq;283.550000;mq;mq;3.600000;4.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07627;20151109120000;103230;-70;8;320;3.900000;294.150000;286.350000;61;20000;0;mq;mq;mq;0;mq;mq;mq;mq;98420;mq;mq;670;mq;mq;mq;mq;281.450000;mq;mq;6.100000;6.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20151109120000;103360;0;0;310;3.200000;288.750000;286.750000;88;11650;0;mq;mq;100;8;250;mq;mq;mq;101560;mq;mq;630;mq;mq;mq;mq;286.150000;mq;mq;5.100000;6.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07643;20151109120000;103060;-100;8;210;3.400000;292.650000;287.250000;71;17360;3;0;0;25;0;mq;30;20;11;102960;mq;mq;-80;mq;mq;mq;mq;287.450000;mq;mq;4.500000;4.800000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20151109120000;102960;-170;8;260;3.100000;292.450000;286.850000;70;13860;0;0;0;mq;0;mq;mq;mq;mq;102580;mq;mq;-180;mq;mq;mq;mq;286.450000;mq;mq;4.300000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20151109120000;102840;-210;7;280;8.700000;291.850000;286.250000;70;30000;1;0;mq;0;0;mq;30;20;10;101250;mq;mq;-240;mq;mq;mq;mq;mq;mq;mq;11.800000;13.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20151109120000;102820;-130;7;110;1.000000;290.850000;285.350000;70;20000;2;0;0;25;2;800;35;20;10;102510;mq;mq;-260;mq;mq;mq;mq;282.850000;mq;mq;1.800000;1.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;6;660;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20151109120000;103060;-210;8;140;1.100000;296.450000;288.250000;60;47680;0;mq;mq;mq;0;mq;mq;mq;mq;102540;mq;mq;130;mq;mq;mq;mq;285.350000;mq;mq;1.800000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07761;20151109120000;103080;-130;8;210;2.600000;292.550000;286.450000;68;59790;0;0;0;90;7;800;mq;mq;mq;102970;mq;mq;-10;mq;mq;mq;mq;284.050000;mq;mq;3.400000;4.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;930;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20151109120000;102920;-130;8;140;2.800000;292.550000;286.750000;69;60000;1;0;0;25;2;800;35;20;10;102780;mq;mq;-130;mq;mq;mq;mq;285.950000;mq;mq;4.300000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;2;6;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61996;20151109120000;102170;-70;7;290;6.200000;286.550000;282.050000;74;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101820;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;9.300000;-10;mq;mq;mq;mq;mq;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61997;20151109120000;100290;-230;6;90;1.000000;284.650000;281.850000;83;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98560;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.700000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61998;20151109120000;99750;10;0;260;15.400000;277.250000;270.650000;62;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99380;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;20.600000;-10;mq;mq;mq;mq;0.000000;mq;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
71805;20151109120000;101800;250;3;290;11.800000;275.550000;267.850000;57;12000;2;1;1;75;6;800;38;20;10;101710;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;19.000000;21.600000;-10;mq;mq;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;2;8;690;6;6;1200;mq;mq;mq;mq;mq;mq;
78897;20151109120000;101720;220;3;90;3.100000;300.550000;297.850000;85;12000;0;mq;mq;mq;mq;1250;mq;mq;mq;mq;mq;mq;90;297.750000;mq;mq;304.350000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;8.000000;mq;9.900000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78922;20151109120000;101640;mq;mq;130;8.700000;301.150000;297.150000;79;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;90;297.550000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;2.000000;mq;mq;4.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
78925;20151109120000;101650;260;3;120;4.100000;300.850000;296.850000;79;7800;mq;mq;mq;mq;mq;mq;mq;mq;mq;101560;mq;mq;100;mq;mq;mq;mq;mq;mq;mq;10.700000;10.700000;-10;mq;mq;mq;mq;-0.100000;-0.100000;-0.100000;1.400000;23.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81401;20151109120000;101370;200;1;120;2.600000;301.950000;297.250000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101310;mq;mq;110;mq;mq;mq;mq;mq;mq;mq;4.900000;4.900000;-10;mq;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
81405;20151109120000;101420;230;3;130;2.500000;302.150000;297.950000;78;60000;0;mq;mq;90;5;450;mq;mq;mq;101330;mq;mq;160;297.150000;mq;mq;mq;297.450000;mq;mq;4.200000;4.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;6.000000;6.000000;mq;mq;mq;mq;4;mq;450;5;mq;600;7;mq;5220;mq;mq;mq;
81415;20151109120000;101450;210;3;50;0.500000;301.550000;296.250000;73;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100250;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;1.300000;1.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
89642;20151109120000;97340;30;1;130;22.600000;265.250000;255.650000;42;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;96800;mq;mq;mq;265.050000;mq;266.850000;mq;mq;mq;mq;32.900000;38.100000;-60;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
